Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;434195;423981;478355;437785;481659;468289;483068;454166;434546;437339;415575;374610;2017
0;Straftaten gegen das Leben;233;219;240;223;254;216;240;196;186;226;198;168;2017
10000;Mord § 211 StGB;58;53;57;50;55;49;58;46;41;48;53;40;2017
10079;Sonstiger Mord;52;50;55;48;50;46;56;43;40;46;51;36;2017
11000;Mord im Zusammenhang mit Raubdelikten;6;3;2;2;4;3;1;2;1;2;1;4;2017
12000;Mord im Zusammenhang mit Sexualdelikten;0;0;0;0;1;0;1;1;0;0;1;0;2017
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;119;110;128;128;133;117;126;97;99;137;97;102;2017
20010;Totschlag § 212 StGB;117;107;127;127;132;116;122;97;96;132;96;102;2017
20020;Minder schwerer Totschlag § 213 StGB;1;0;0;0;0;0;2;0;0;1;1;0;2017
20030;Tötung auf Verlangen § 216 StGB;1;3;1;1;1;1;2;0;3;4;0;0;2017
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;52;51;45;37;55;44;44;48;36;33;33;23;2017
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;4;5;10;8;11;6;12;5;10;8;15;3;2017
40010;Schwangerschaftsabbruch § 218 StGB;3;5;8;6;6;4;8;4;5;5;7;2;2017
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;0;0;2;1;1;1;2;0;0;1;0;1;2017
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;1;0;0;0;0;0;0;2017
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1;0;0;1;4;0;2;1;5;2;8;0;2017
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;0;0;0;0;0;0;0;2017
100000;Straftaten gegen die sexuelle Selbstbestimmung;3862;3792;3988;3755;4475;4613;4633;4422;3847;3738;3109;2671;2017
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;1678;1799;1794;1789;2171;2241;2336;2234;2089;1996;1749;1520;2017
111000;Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB;738;709;799;780;842;805;823;701;591;448;253;56;2017
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;27;30;32;38;52;71;87;132;162;229;240;318;2017
111100;Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;49;50;50;52;62;71;66;52;49;43;20;1;2017
111200;Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;9;13;7;5;7;7;10;12;6;4;6;0;2017
111300;Vergewaltigung durch Gruppen § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;26;18;14;13;18;18;10;11;9;11;6;3;2017
111400;Sonstige Straftaten gemäß § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;404;368;428;427;420;390;400;357;306;235;125;32;2017
111500;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;0;1;0;2;0;1;0;1;1;3;0;0;2017
111600;Sexuelle Übergriffe § 177 Abs. 1, 2, 3, 4, 7, 8 und 9 StGB;250;259;300;281;335;318;337;268;220;152;96;20;2017
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;19;27;27;30;44;62;73;101;133;194;204;264;2017
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);16;20;22;27;38;49;56;81;104;152;162;211;2017
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;2;4;2;1;3;6;9;16;18;22;19;30;2017
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1;3;3;2;3;7;8;4;11;20;23;23;2017
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, 7, 8 StGB;8;3;5;8;8;9;14;30;29;35;35;54;2017
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;2;0;2;2;3;1;5;13;11;11;20;28;2017
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;4;3;2;3;3;7;9;14;16;20;10;19;2017
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;2;0;1;3;2;1;0;3;2;4;5;7;2017
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;0;0;0;0;0;0;0;1;0;0;1;0;2017
112000;Sonstige sexuelle Nötigung § 177 Abs. 5, 7, 8 und 9 StGB;192;200;179;156;164;162;173;139;106;95;65;7;2017
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;12;16;20;26;35;45;67;85;110;181;228;311;2017
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;5;5;9;16;16;25;35;45;51;88;101;144;2017
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;4;6;9;8;16;17;29;33;51;75;103;140;2017
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;3;5;2;2;3;3;3;7;8;18;24;27;2017
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;43;34;35;34;41;35;35;40;27;33;19;19;2017
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;31;18;22;20;22;23;24;27;17;15;9;11;2017
