Schlüssel;Straftat;erfasste Fälle;Jahr
------;Straftaten insgesamt;5310621;2020
0;Straftaten gegen das Leben;3289;2020
10000;Mord § 211 StGB;719;2020
10079;Sonstiger Mord;680;2020
11000;Mord im Zusammenhang mit Raubdelikten;31;2020
12000;Mord im Zusammenhang mit Sexualdelikten;8;2020
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1682;2020
20010;Totschlag § 212 StGB;1664;2020
20020;Minder schwerer Totschlag § 213 StGB;0;2020
20030;Tötung auf Verlangen § 216 StGB;18;2020
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;791;2020
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;97;2020
40010;Schwangerschaftsabbruch § 218 StGB;93;2020
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;2020
40030;Ärztliche Pflichtverletzung § 218c StGB;1;2020
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1;2020
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1;2020
50000;Geschäftsmäßige Förderung der Selbsttötung;0;2020
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;81630;2020
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29419;2020
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9752;2020
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8949;2020
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);7257;2020
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;572;2020
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1120;2020
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;803;2020
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;301;2020
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;369;2020
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;133;2020
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;0;2020
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;6160;2020
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2702;2020
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2789;2020
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;669;2020
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;635;2020
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;426;2020
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;55;2020
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;9;2020
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;145;2020
114000;Sexuelle Belästigung § 184i StGB;12860;2020
115000;Straftaten aus Gruppen § 184j StGB;12;2020
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;24504;2020
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;14594;2020
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;141;2020
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5685;2020
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1445;2020
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;489;2020
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;3839;2020
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;1173;2020
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornografischer Schriften § 176a Abs. 3 StGB;197;2020
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1625;2020
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;2020
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;8808;2020
132010;Exhibitionistische Handlungen § 183 StGB;7513;2020
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1295;2020
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;1102;2020
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;347;2020
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;755;2020
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;27707;2020
140010;Ausübung der verbotenen Prostitution § 184f StGB;672;2020
140020;Jugendgefährdende Prostitution § 184g StGB;14;2020
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;145;2020
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;126;2020
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;74;2020
